audio,text,
0.wav,﻿የ 9 አክራሪው ምንድን ነው?,
1.wav,የ 4 አክራሪ?,
2.wav,ሰባት ጊዜ ሁለት,
3.wav,ሰባት ለሁለት ይከፈላሉ,
4.wav,ለምሳሌ ብርሃን በጣም ደስ ይለኛል,
5.wav,እሺ እንደገና ሞክር,
6.wav,ድምፅ አልገባም ሞክሪ,
7.wav,ሁለቱም መደወል አልቻሉም,
8.wav,እሺ ስሙን ንገረኝ? እየደወልኩ ነው,
9.wav,ማን ጋር?,
10.wav,ቁጥሩን ንገረኝ,
11.wav,እሺ ንገሪኝ የቱን?,
12.wav,መቼ የተላከውን?,
13.wav,ማን የላከውን ?,
14.wav,ስንት ሰአት የተላከውን?,
15.wav,ማንበብ አልቻልኩም,
16.wav,መልዕክት አልተላከም,
17.wav,በሰአት ልኮ ነበር አልገባም,
18.wav,አዲስ ሜሴጅ የለም,
19.wav,አዲስ መልዕክት በሰአት ልኮአል,
20.wav,ሴቭ ተደርጉአል,
21.wav,ቁጥሩን ንገረኝ?,
22.wav,ለማ ተልኮአል?,
23.wav,ምን ብዬ ልኬአለው?,
24.wav,መጻፍ አልቻልኩም ደግመህ ንገረኝ,
25.wav,አዎ ደርሶአል,
26.wav,ዛሬ ፈጣን ምግብ አልደረሰም,
27.wav,የዛሬ ቀን ክስተት ነው,
28.wav,የህይወት ታሪክ ቀኑ አልተሞላም,
29.wav,አሁን አላወኩም,
30.wav,ጊዜ አልተሞላም,
31.wav,አላወኩም አሁን ሊዘጋ ነው,
32.wav,አመት ንገረኝ?,
33.wav,ምን? መፈለግ አልቻልኩም፤ እባክዎ ይድገሙልኝ,
34.wav,እሺ ጨምሬአለው,
35.wav,መቀነስ አልቻልኩም,
36.wav,እባክዎ ይድገሙልኝ,
37.wav,በቴሌግራም ምን ተጨምሮአል,
38.wav,ቻው መጨረሻው ነው,
39.wav,ላጥፋው እርግጠኛ ኖት?,
40.wav,ጊዜ ማጥፋት አልቻልኩም,
41.wav,ያለዎት ቀሪ ሂሳብ,
42.wav,አሁን ያሉት አዲስ አበባ ነው,
43.wav,ብሉቱዝ በርቷል,
44.wav,ብሉቱዝ መገልገያ ጠፍቷል,
45.wav,ፍላይት ሞድ በርቷል,
46.wav,ፍላይት ሞድ ጠፍቷል,
47.wav,ዋይፋይ በርቷል,
48.wav,ዋይፋይ ጠፍቷል,
49.wav,ስልኩ ሳይለንት ነው፤ ማንም አልደወለም,
50.wav,ሚስኮል የለም, አልተደወለም
51.wav,ቁጥሩ የለም ሴቭ አልተደረገም,
52.wav,ሜሞሪ ሞልቱአል,
53.wav,አላቀውም ሚባል የለም,
54.wav,መደወል አልቻልኩም,
55.wav,ኔትዎርክ የለም ደካማ ነው,
56.wav,ስልኩ ጠፍቱአል,
57.wav,ዝግጁ ነኝ!,
58.wav,ይቅርታ ትዕዛዞት አልተሳካም ልቀጥል?,
59.wav,ይቅርታ አልገባኝም!,
60.wav,ምን? አባክዎ ይድገሙልኝ!,
61.wav,ደውሎ ነበር,
62.wav,ብሎ ልኳል,
63.wav,በ1987 ዓ.ም ማ ጋር?,
64.wav,ዋይፋይ በርትዋል,
65.wav,ቁጥርና የክወና ዉጤት ጨምሬአለው,
66.wav,ብሉቱዝ በርቱዋል ,
67.wav,ቅዳሜ፣ ማርች 26፣ 2022 (ጂኤምቲ+3),
68.wav,ከትንሽ ጊዜ በኋላ እንደገና ይሞክሩ,
69.wav,ማስታወቂያህን ያነሳሳል።,
70.wav,የጂኦግራፊያዊ አፈጻጸምን ስለመለካት።,
71.wav,የሃያ ዲግሪ ከፍተኛ,
72.wav,ዝቅተኛ -25,
73.wav,20 በመቶ የበረዶ እድል,
74.wav,በዋናነት ፀሐያማ,
75.wav,ፀሐያማ ከደመና ወቅቶች ጋር,
76.wav,ከፍተኛ / ዝቅተኛ መዝገብ,
77.wav,ጥቂት ፍንዳታዎች,
78.wav,የ5-ቀን ትንበያ,
79.wav,የሙቀት መጠኑ ሊቀንስ/ሊወርድ ነው ,
80.wav,የሙቀት መጠኑ ሊጨምር/ሊወጣ ነው ,
81.wav,እንዲሁም የሚከተለውን ጽሑፍ ያንብቡ።,
82.wav,የሙቀት መጠኑ 10º ብቻ ነው።,c
83.wav,የሙቀት መጠኑ 15º አካባቢ ነው።,
84.wav,የዝምታው ሙዚቃ ስልቱን አጣ::,
85.wav,ትኩር ብሎ ተመለከተው::,
86.wav,ፍዝዝ ብሎ በተመሰጠ አእምሮ አየው::,
87.wav,ቤቱ ርካሽ እቃ አይገኝም::,
88.wav,አጋጣሚ አይደለህም፡፡,
89.wav,ለዘላለም ነው የተፈጠርከው,
90.wav,በእግዚአብሔርና ለእግዚኣብሔር ነው የተፈጠርከው,
91.wav,ለሕይወትህ ትርጉም ይሰጠዋል,
92.wav,ከሁሉም ይልቅ ለዘላለም ሕይወት ያዘጋጀሃል፡፡,
93.wav,ጉሞቹ በእሳት የጋዩ ይመስላሉ,
94.wav,ንፋስ ስለሌለ የሚታዩት ባህርዛፎች እይወዛወዙም,
95.wav,ህይወት ያላቸው አይመስሉም,
96.wav,እንግዳ ሴቱ በሲጃራ ጢስ ታፍኗል,
97.wav,አለው ኣበራ ሃይለማርያምን,
98.wav,የሀይለማርያም ቡናማ ኮትና ሱሪ ተጨማዶዋል,
99.wav,ሸምቀቆው ተፈትቶ የሚያውቅ አይመስልም,
100.wav,ሊል ይችላል አለና ተነስቶ ቆመ,audio,text,

